adjective	noun	GerCoAt-attribute	status
copious	provision	quantity	free
enough	food	quantity	free
few	pleasure	quantity	free
few	rose	quantity	free
few	week	quantity	free
few	woman	quantity	free
generous	donation	quantity	free
insufficient	fund	quantity	free
major	portion	quantity	free
many	apple	quantity	free
many	cloud	quantity	free
many	direction	quantity	free
many	people	quantity	free
many	temptation	quantity	free
minor	share	quantity	free
plentiful	food	quantity	free
scanty	harvest	quantity	free
scarce	vegetable	quantity	free
sufficient	food	quantity	free
ungenerous	response	quantity	collocation
voluminous	legislation	quantity	collocation
average	people	relation	collocation
average	merit	relation	collocation
common	knowledge	relation	collocation
common	man	relation	collocation
immediate	influence	relation	collocation
natural	development	relation	collocation
popular	thought	relation	collocation
regular	bedtime	relation	collocation
standard	brand	relation	collocation
standard	fixture	relation	collocation
standard	size	relation	collocation
standard	width	relation	collocation
standard	size	relation	collocation
uncommon	liking	relation	collocation
abnormal	circumstance	relation	free
abnormal	interest	relation	free
atypical	family	relation	free
atypical	behavior	relation	free
atypical	moss	relation	free
available	candidate	relation	free
available	information	relation	free
common	brand	relation	free
common	nuisance	relation	free
common	procedure	relation	free
contrary	conclusion	relation	free
deviant	idea	relation	free
different	approach	relation	free
different	conclusion	relation	free
different	meeting	relation	free
different	part	relation	free
different	side	relation	free
direct	flight	relation	free
direct	hit	relation	free
direct	route	relation	free
direct	contact	relation	free
direct	exposure	relation	free
direct	link	relation	free
direct	sunlight	relation	free
dissimilar	people	relation	free
divergent	opinion	relation	free
everyday	scene	relation	free
extraordinary	session	relation	free
familiar	figure	relation	free
familiar	guest	relation	free
familiar	song	relation	free
final	answer	relation	free
foreign	accent	relation	free
foreign	city	relation	free
foreign	nation	relation	free
foreign	accent	relation	free
foreign	city	relation	free
foreign	nation	relation	free
general	assistance	relation	free
general	public	relation	free
general	reader	relation	free
general	rule	relation	free
general	term	relation	free
habitual	comment	relation	free
indirect	course	relation	free
indirect	path	relation	free
indirect	light	relation	free
individual	drop	relation	free
individual	page	relation	free
individual	way	relation	free
irregular	behavior	relation	free
miscellaneous	crowd	relation	free
multifaceted	undertaking	relation	free
multifarious	interest	relation	free
multifarious	noise	relation	free
near	approach	relation	free
nonstandard	length	relation	free
nonstandard	size	relation	free
nonstandard	window	relation	free
normal	course	relation	free
normal	curiosity	relation	free
ordinary	day	relation	free
ordinary	decency	relation	free
ordinary	wine	relation	free
other	book	relation	free
other	day	relation	free
other	direction	relation	free
other	ear	relation	free
other	employment	relation	free
other	house	relation	free
other	person	relation	free
other	sex	relation	free
other	side	relation	free
rare	word	relation	free
routine	day	relation	free
run-of-the-mill	boxing	relation	free
same	age	relation	free
same	color	relation	free
same	day	relation	free
same	dimension	relation	free
same	rule	relation	free
same	species	relation	free
separate	church	relation	free
separate	issue	relation	free
separate	way	relation	free
similar	coat	relation	free
similar	food	relation	free
similar	price	relation	free
special	occasion	relation	free
special	reason	relation	free
special	permission	relation	free
specific	application	relation	free
typical	case	relation	free
uncommon	amount	relation	free
uncommon	bird	relation	free
uncommon	character	relation	free
unique	ability	relation	free
unique	accent	relation	free
unusual	ability	relation	free
unusual	meteorite	relation	free
unusual	punishment	relation	free
usual	bedtime	relation	free
usual	time	relation	free
usual	vegetable	relation	free
varied	work	relation	free
various	achievement	relation	free
versatile	erudition	relation	free
female	heir	sex	free
male	infant	sex	free
crooked	tooth	shape	free
curly	hair	shape	free
hollow	tree	shape	free
hollow	wall	shape	free
keen	blade	shape	free
ragged	line	shape	free
sharp	knife	shape	free
sharp	point	shape	free
straight	hair	shape	free
straight	line	shape	free
straight	road	shape	free
straight	shoulder	shape	free
straight	tooth	shape	free
twisty	track	shape	free
unnatural	interest	relation	collocation
odorless	flower	smell	free
odorless	gas	smell	free
odorous	bread	smell	free
odorous	garbage	smell	free
scentless	stretch	smell	free
scentless	wisp	smell	free
untouchable	resource	relation	collocation
fresh	scent	smell	collocation
common	parlance	social	collocation
free	country	social	collocation
lowly	corporal	social	collocation
senior	officer	social	collocation
social	animal	social	collocation
acknowledged	accomplishment	social	free
acknowledged	error	social	free
acknowledged	leader	social	free
antisocial	deed	social	free
antisocial	individual	social	free
colloquial	style	social	free
common	land	social	free
conventional	behavior	social	free
conventional	form	social	free
conventional	wisdom	social	free
customary	handshake	social	free
dependent	child	social	free
discredited	politician	social	free
formal	ball	social	free
formal	dress	social	free
formal	education	social	free
formal	requirement	social	free
free	choice	social	free
free	enterprise	social	free
free	port	social	free
highbrow	event	social	free
incorrupt	policeman	social	free
independent	individualism	social	free
independent	judgment	social	free
independent	mind	social	free
notorious	district	social	free
orthodox	view	social	free
popular	girl	social	free
reputable	business	social	free
reputable	scientist	social	free
reputable	wine	social	free
respectable	company	social	free
sacred	bread	social	free
sacred	mosque	social	free
sacred	name	social	free
solitary	disposition	social	free
solitary	walk	social	free
unconventional	dress	social	free
unpopular	idea	social	free
unpopular	war	social	free
unsocial	disposition	social	free
social	behavior	social	collocation
superior	officer	social	collocation
big	voice	sound	collocation
deep	voice	sound	collocation
audible	whisper	sound	free
inaudible	conversation	sound	free
loud	child	sound	free
loud	thunder	sound	free
loud	trombone	sound	free
treble	voice	sound	free
empty	room	space	free
full	auditorium	space	free
panoramic	view	space	free
spacious	view	space	free
shrill	gaiety	sound	collocation
small	voice	sound	collocation
fast	film	speed	collocation
fast	track	speed	collocation
lazy	pace	speed	collocation
lazy	river	speed	collocation
meteoric	rise	speed	collocation
slow	lane	speed	collocation
smart	pace	speed	collocation
fast	car	speed	free
fast	pace	speed	free
rapid	rise	speed	free
slow	step	speed	free
slow	walker	speed	free
speedy	recovery	speed	collocation
speedy	resolution	speed	collocation
constant	lover	stability	collocation
frozen	price	stability	collocation
unfailing	loyalty	stability	collocation
unflagging	courtesy	stability	collocation
changeable	behavior	stability	free
changeable	mood	stability	free
changeable	price	stability	free
inconstant	affection	stability	free
inconstant	lover	stability	free
inconstant	moon	stability	free
steadfast	ally	stability	free
unchangeable	fact	stability	free
unchangeable	part	stability	free
unchangeable	season	stability	free
unswerving	allegiance	stability	collocation
clean	animal	state	free
clean	cat	state	free
clean	dish	state	free
clean	house	state	free
dead	man	state	free
dead	nerve	state	free
dirty	dish	state	free
dirty	foot	state	free
dirty	overall	state	free
dirty	slum	state	free
dry	paint	state	free
empty	glass	state	free
empty	seat	state	free
foul	pond	state	free
full	glass	state	free
greasy	coverall	state	free
grimy	hand	state	free
lifeless	body	state	free
muddy	boot	state	free
nasty	pigsty	state	free
oily	rag	state	free
snotty	nose	state	free
sodden	collar	state	free
unbroken	lens	state	free
unclean	shirt	state	free
wet	sidewalk	state	free
unswerving	devotion	stability	collocation
even	application	surface	free
even	floor	surface	free
opaque	window	surface	free
dry	land	state	collocation
milky	glass	surface	collocation
bitter	quinine	taste	free
nutty	sherry	taste	free
peppery	salsa	taste	free
tasty	morsel	taste	free
cold	beer	temperature	free
cold	climate	temperature	free
cold	finger	temperature	free
cold	room	temperature	free
cool	breeze	temperature	free
cool	drink	temperature	free
cool	room	temperature	free
hot	forehead	temperature	free
hot	stove	temperature	free
hot	water	temperature	free
lukewarm	coffee	temperature	free
sweltering	room	temperature	free
warm	body	temperature	free
warm	climate	temperature	free
warm	coat	temperature	free
warm	room	temperature	free
delicate	flavor	taste	collocation
harsh	cognac	taste	collocation
breakable	article	texture	free
breakable	pottery	texture	free
coarse	meal	texture	free
coarse	sand	texture	free
coarse	weave	texture	free
coarse-grained	wood	texture	free
delicate	china	texture	free
destructible	glassware	texture	free
fine	film	texture	free
fine	grain	texture	free
fine	weave	texture	free
fine	rain	texture	free
fine-grained	rock	texture	free
rugged	furniture	texture	free
solid	block	texture	free
dainty	teacup	texture	collocation
powdery	snow	texture	collocation
current	event	time	free
current	negotiation	time	free
current	position	time	free
current	topic	time	free
early	death	time	free
early	diagnosis	time	free
early	morning	time	free
early	retirement	time	free
early	spring	time	free
early	variety	time	free
early	warning	time	free
fresh	bread	time	free
fresh	lettuce	time	free
future	historian	time	free
immediate	reply	time	free
late	breakfast	time	free
late	evening	time	free
late	flight	time	free
late	movie	time	free
middle	thirty	time	free
middle	year	time	free
modern	furniture	time	free
modern	history	time	free
new	law	time	free
new	year	time	free
novel	proof	time	free
past	year	time	free
past	youth	time	free
posthumous	award	time	free
posthumous	book	time	free
prompt	reply	time	free
quick	reaction	time	free
recent	addition	time	free
stale	beer	time	free
stale	bread	time	free
near	future	time	collocation
newborn	fear	time	collocation
dirty	money	validity	collocation
admissible	evidence	validity	free
illegitimate	seizure	validity	free
inadmissible	evidence	validity	free
lawful	method	validity	free
licensed	pharmacist	validity	free
unlawful	hunter	validity	free
unlawful	measure	validity	free
unlawful	money	validity	free
unlawful	measure	validity	free
heavy	metal	weight	free
heavy	load	weight	free
light	load	weight	free
hot	merchandise	validity	collocation
ill-gotten	gain	validity	collocation
